Cliente,Producto,Monto,Fecha,Tipo
Juan García,Laptop,1200.00,2024-01-15,Compra
María López,Mouse,25.50,2024-01-16,Compra
Carlos Rodríguez,Teclado,75.00,2024-01-17,Compra
Juan García,Monitor,350.00,2024-01-18,Compra
María López,Laptop,1200.00,2024-01-20,Compra
Ana Martínez,Mouse,25.50,2024-01-21,Compra
Juan García,Teclado,75.00,2024-02-01,Compra
Carlos Rodríguez,Monitor,350.00,2024-02-02,Compra
María López,Teclado,75.00,2024-02-05,Compra
Ana Martínez,Laptop,1200.00,2024-02-10,Compra
Juan García,Mouse,25.50,2024-02-15,Compra
Carlos Rodríguez,Laptop,1200.00,2024-02-18,Compra
María López,Monitor,350.00,2024-02-20,Compra
Ana Martínez,Teclado,75.00,2024-03-01,Compra
Juan García,Monitor,350.00,2024-03-05,Compra
Carlos Rodríguez,Mouse,25.50,2024-03-10,Compra
María López,Mouse,25.50,2024-03-15,Compra
Ana Martínez,Monitor,350.00,2024-03-18,Compra
Juan García,Laptop,1200.00,2024-03-20,Compra
Carlos Rodríguez,Teclado,75.00,2024-03-25,Compra
